country,continent,lifeExp,pop,gdpPercap
Lebanon,Asien,71.993,3921278,10461.05868
"Congo, Rep.",Afrika,55.322,3800610,3632.557798
Albania,Europa,76.423,3600523,5937.029526
Uruguay,Amerika,76.384,3447496,10611.46299
Mauritania,Afrika,64.164,3270065,1803.151496
Panama,Amerika,75.537,3242173,9809.185636
Oman,Asien,75.64,3204897,22316.19287
Liberia,Afrika,45.678,3193942,414.5073415
Mongolia,Asien,66.803,2874127,3095.772271
Jamaica,Amerika,72.567,2780132,7320.880262
Kuwait,Asien,77.588,2505559,47306.98978
Namibia,Afrika,52.906,2055080,4811.060429
Lesotho,Afrika,42.592,2012649,1569.331442
Slovenia,Europa,77.926,2009245,25768.25759
Gambia,Afrika,59.448,1688359,752.7497265
Botswana,Afrika,50.728,1639131,12569.85177
Guinea-Bissau,Afrika,46.388,1472041,579.231743
Gabon,Afrika,56.735,1454867,13206.48452
Mauritius,Afrika,72.801,1250882,10956.99112
Swaziland,Afrika,39.613,1133066,4513.480643
Trinidad and Tobago,Amerika,69.819,1056608,18008.50924
Reunion,Afrika,76.442,798094,7670.122558
Comoros,Afrika,65.152,710960,986.1478792
Bahrain,Asien,75.635,708573,29796.04834
Montenegro,Europa,74.543,684736,9253.896111
Equatorial Guinea,Afrika,51.579,551201,12154.08975
Djibouti,Afrika,54.791,496374,2082.481567
Iceland,Europa,81.757,301931,36180.78919
Sao Tome and Principe,Afrika,65.528,199579,1598.435089
